round,labeled_size,miou_round,f1_round,epochs_observed,experiment
9,855,0.756114193291012,0.8416535561038836,10,no_agent
10,943,0.7525232314816122,0.838295472505302,10,no_agent
11,1031,0.7588687999866466,0.8437732376477833,10,no_agent
12,1119,0.7555378369634925,0.8408931314046302,10,no_agent
13,1207,0.7628867009136904,0.8471071713996143,10,no_agent
14,1295,0.7571842488744072,0.8421710181648272,10,no_agent
15,1383,0.7639384582529724,0.8481623345496272,10,no_agent
1,151,0.643586330228509,0.7303433803630646,10,uncertainty_only
2,239,0.6736150742310056,0.7629523397210844,10,uncertainty_only
3,327,0.7174450942036482,0.8067936693364808,10,uncertainty_only
4,415,0.730664545099667,0.819009077419137,10,uncertainty_only
5,503,0.7352658896081334,0.8231821664158598,10,uncertainty_only
6,591,0.7384265910467431,0.8260399170763686,10,uncertainty_only
7,679,0.7417470765025738,0.8290580550030218,10,uncertainty_only
8,767,0.7507211283652389,0.8368345075584831,10,uncertainty_only
9,855,0.7563452020721173,0.841731921122171,10,uncertainty_only
10,943,0.7588366551766932,0.8438666990230725,10,uncertainty_only
11,1031,0.7556126456245971,0.8409652116511139,10,uncertainty_only
12,1119,0.7631655719885817,0.8474237199973083,10,uncertainty_only
13,1207,0.7621330026273103,0.8465903891455975,10,uncertainty_only
14,1295,0.7476545740596054,0.8339125037350799,10,uncertainty_only
15,1383,0.7613096590969892,0.8457522836407417,10,uncertainty_only
