round,labeled_size,mIoU,f1,selection_expected,selection_selected,selection_source,avg_uncertainty,avg_knowledge_gain,lambda_t,lambda_controller,lambda_controller_mode,miou_delta,rollback_flag,experiment
14,1383,0.7597690593712036,0.8443838992035988,88.0,88.0,pipeline,0.5568951329615228,0.6491750253466514,0.5,,,-0.006989496779146398,False,fixed_lambda
15,1383,0.7592056035809502,0.8441067587535211,,,,,,,,,-0.0005634557902534088,False,fixed_lambda
1,239,0.6106873756473394,0.6895237610206808,88.0,88.0,agent,,,,,,,False,full_model_default_thresholds
2,327,0.7068699059273339,0.7968003988773434,88.0,88.0,agent,,,,,,0.09618253027999446,False,full_model_default_thresholds
3,415,0.7255908590726075,0.8144749399226746,88.0,88.0,agent,,,,,,0.018720953145273556,False,full_model_default_thresholds
4,503,0.7350535704242688,0.8230721216791318,88.0,88.0,agent,,,,,,0.009462711351661324,False,full_model_default_thresholds
5,591,0.7394217375267798,0.8270224918577742,88.0,88.0,agent,,,,,,0.004368167102510978,False,full_model_default_thresholds
6,679,0.7522327864070566,0.8383959111206472,88.0,88.0,agent,,,,,,0.012811048880276843,False,full_model_default_thresholds
7,767,0.7462937262952234,0.8328416036492641,88.0,88.0,agent,,,,,,-0.005939060111833205,False,full_model_default_thresholds
8,855,0.7407539265617905,0.8280031522671185,88.0,88.0,agent,,,,,,-0.005539799733432882,False,full_model_default_thresholds
9,943,0.7605868765073788,0.8452850917051284,88.0,88.0,agent,,,,,,0.019832949945588263,False,full_model_default_thresholds
10,1031,0.7568618170955492,0.8420786946840142,88.0,88.0,agent,,,,,,-0.0037250594118295455,False,full_model_default_thresholds
11,1119,0.7645975760832482,0.8485242759486642,88.0,88.0,agent,,,,,,0.00773575898769896,False,full_model_default_thresholds
12,1207,0.7624990248473105,0.8467805782848203,88.0,88.0,agent,,,,,,-0.002098551235937718,False,full_model_default_thresholds
13,1295,0.7541632137027894,0.8397530887331079,88.0,88.0,agent,,,,,,-0.008335811144521088,False,full_model_default_thresholds
14,1383,0.7583969346068752,0.8432556792336017,88.0,88.0,agent,,,,,,0.004233720904085803,False,full_model_default_thresholds
