round,labeled_size,miou_round,f1_round,epochs_observed,experiment
1,151,0.6293466248249774,0.7134661018057546,10,no_agent
2,239,0.6981105009786561,0.7885326096859644,10,no_agent
3,327,0.7038145443481276,0.793776720643588,10,no_agent
4,415,0.7396288878824371,0.8272133479970115,10,no_agent
5,503,0.7388660472861821,0.8265124957480797,10,no_agent
6,591,0.7424704009921048,0.8297697864321265,10,no_agent
7,679,0.7447906598211165,0.8322019482013223,10,no_agent
8,767,0.7478922436271527,0.8343336702985444,10,no_agent
9,855,0.7414505254371332,0.8286106208215167,10,no_agent
10,943,0.7540266931195319,0.8395354319841455,10,no_agent
11,1031,0.7627335178304326,0.8468963617238177,10,no_agent
12,1119,0.7565383140852675,0.8416886772054917,10,no_agent
13,1207,0.7564762160514459,0.8417137972033532,10,no_agent
14,1295,0.7525918541395675,0.8383987812896728,10,no_agent
15,1383,0.7578710702746443,0.842810426510359,10,no_agent
1,151,0.5810436072918077,0.6511022104298464,10,no_cold_start
2,239,0.7044887314193752,0.7950399979827769,10,no_cold_start
3,327,0.695404783075028,0.7854803417187313,10,no_cold_start
4,415,0.7235859994810723,0.8125195158115528,10,no_cold_start
5,503,0.7430016135609909,0.8302944156399076,10,no_cold_start
6,591,0.7321720676094605,0.8204219453296195,10,no_cold_start
7,679,0.755149783876965,0.8408733110494853,10,no_cold_start
8,767,0.7557315587449123,0.8409927537037443,10,no_cold_start
9,855,0.7482975389627361,0.8346677005314604,10,no_cold_start
10,943,0.7536359492929949,0.8391839062244298,10,no_cold_start
11,1031,0.7624439635425098,0.8468427769962397,10,no_cold_start
