round,epoch,labeled_size,loss,mIoU,f1,grad_train_val_cos,grad_cos_to_mean_mean,grad_cos_consecutive_mean,grad_total_norm_mean,experiment_name
8,4,767,0.11562916283442087,0.7083560319715437,0.7981218723129007,0.7625421099952723,0.4112782669691839,-0.03450671946642975,0.9212627194224257,no_normalization
8,5,767,0.10876666118649288,0.7320057031877328,0.8201682443573987,0.37864496906702166,0.24863812273221056,0.21164587064909338,0.842716090281156,no_normalization
8,6,767,0.10195781678663499,0.7425221761769125,0.8298996443020216,-0.44361825252303083,0.1320819051009111,-0.3323367721365584,0.7128953642162384,no_normalization
8,7,767,0.09655237576256248,0.7282199883278415,0.816607590601913,-0.22751583233762937,0.45177639095326644,0.11248591179097267,0.6415755653771967,no_normalization
8,8,767,0.09282608279539029,0.7502325420622395,0.8363718032428655,0.6500659263000769,0.29564701889034956,0.20938082501029712,0.6296121170713063,no_normalization
8,9,767,0.0906427879842164,0.7265223213242114,0.8150823338598094,0.31281697773731915,0.7548022061022905,0.736750189616872,0.5852959443429729,no_normalization
8,10,767,0.0858685140990462,0.736832133531299,0.8243595424268847,-0.03657731705056311,0.403283150698308,0.4788599761609497,0.5305985147335044,no_normalization
9,1,855,0.3248169524289073,0.6573587919961474,0.7458148548304793,0.85332732572132,0.9981518142518572,0.9957072244310774,2.723675411235691,no_normalization
9,2,855,0.1417687751457725,0.6827326911935953,0.7725132874935223,0.9366349565252219,0.8050100568589021,0.6011613477190647,1.011305054140057,no_normalization
9,3,855,0.12164385235505484,0.6829380290267232,0.7725194285312091,0.6009151059530428,0.42854386063765837,-0.14673174155386912,0.8411703274708671,no_normalization
9,4,855,0.1108090128277389,0.7342182761466493,0.8222538777502484,0.601636426245084,0.35868136107165405,0.010512857824023716,0.7263926756266372,no_normalization
9,5,855,0.10696477073948708,0.7089494564695511,0.7985007992867226,-0.3098185093021581,0.6409759429771988,0.4796335881091777,0.7088465017980555,no_normalization
9,6,855,0.09941137431652892,0.7293099623529742,0.8176589471245868,-0.08165806385207468,0.47122548404907644,-0.07825916024789259,0.61536525206246,no_normalization
9,7,855,0.09650514528435161,0.6928575791663083,0.7825445086040841,0.20381294585548118,0.2861145652748716,0.20198245657079267,0.5738362014355258,no_normalization
9,8,855,0.09388053000952716,0.7335194974579069,0.8214355284796593,0.6348924009069479,0.3611133263022757,-0.21275374238979514,0.596313055487941,no_normalization
9,9,855,0.08912450048915098,0.7532250662868759,0.8389629951006141,0.7043689579034075,0.5783295067919149,0.44960490464660907,0.5225229091255104,no_normalization
9,10,855,0.08645251820939527,0.754566276922874,0.8400546799120325,0.81928926806574,0.6001661553630468,0.3315839359645993,0.5030649589419448,no_normalization
10,1,943,0.23486099427050733,0.6813949573951086,0.7714106353870158,0.9389142869352473,0.9972813786647219,0.9946598342079793,2.3484102826807547,no_normalization
10,2,943,0.12855327842717476,0.7026645065123714,0.7927901342967036,0.8066460450269156,0.8093552881233084,0.5519486789326475,1.0936145328684987,no_normalization
10,3,943,0.11129992414028086,0.6860497944020892,0.7756832796962877,0.6555506175047172,0.6768901714606095,0.3509469691314984,0.8195975243330746,no_normalization
10,4,943,0.10478642944325792,0.6787418938149556,0.7680842907354093,0.41963875072793105,0.16905951197692615,-0.29901591206012335,0.7987444938890673,no_normalization
10,5,943,0.09546656503956369,0.7368552703998358,0.8245558063113311,0.6622663623522055,0.5506101039827398,0.12837693003339715,0.628756987466084,no_normalization
10,6,943,0.09142013326921361,0.7294295755811723,0.8176913244543923,-0.709816340710297,0.18033242124425153,0.47925409544219794,0.5939217690517856,no_normalization
10,7,943,0.08567352832314816,0.7546947450852506,0.8404996470363009,0.11567172217943071,0.4086085711959924,0.22345727624600445,0.5338190578506914,no_normalization
10,8,943,0.08352402264767504,0.7496898485016883,0.835769275715559,-0.7570783039681455,0.5225389941877057,0.24858749042336456,0.5149858840456829,no_normalization
10,9,943,0.08350874953606027,0.7512803747789748,0.8371751465819384,0.5708018529027024,-0.011725708855054126,0.06560762610132713,0.5597388910461285,no_normalization
10,10,943,0.07823518543959933,0.7563379234972518,0.8415100763479184,-0.7879841064365329,0.2611490586219223,0.14862493902765156,0.4594180010264948,no_normalization
11,1,1031,0.20453603936772402,0.663486082797233,0.7521044961016334,0.9140287390982199,0.9956747685342993,0.9906105498400569,2.348198787144613,no_normalization
